全球団打点ランキング,,,,,,,,,,,,,,,,,
順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率
1,中村 剛也,西武,0.278,139,599,521,145,37,124,1,68,7,172,0,12,0.559,0.367
2,畠山 和洋,ヤクルト,0.268,137,584,512,137,26,105,0,62,2,92,0,10,0.471,0.344
3,中田 翔,日本ハム,0.263,143,611,539,142,30,102,1,64,1,120,0,11,0.479,0.339
4,山田 哲人,ヤクルト,0.329,143,646,557,183,38,100,34,81,5,111,0,11,0.61,0.416
5,柳田 悠岐,ソフトバンク,0.363,138,605,502,182,34,99,32,88,14,101,0,9,0.631,0.469
6,李 大浩,ソフトバンク,0.282,141,584,510,144,31,98,0,62,9,109,0,17,0.524,0.368
7,レアード,日本ハム,0.231,143,554,498,115,34,97,1,43,9,129,0,18,0.488,0.301
8,松田 宣浩,ソフトバンク,0.287,143,603,533,153,35,94,8,60,2,135,0,17,0.533,0.357
9,筒香 嘉智,DeNA,0.317,138,568,496,157,24,93,0,68,2,98,0,5,0.522,0.4
10,メヒア,西武,0.235,135,525,473,111,27,89,0,45,5,153,0,14,0.471,0.307
11,内川 聖一,ソフトバンク,0.284,136,585,529,150,11,82,1,45,4,55,0,24,0.395,0.34
12,浅村 栄斗,西武,0.27,141,627,537,145,13,81,12,69,12,136,2,13,0.385,0.362
13,福留 孝介,阪神,0.281,140,569,495,139,20,76,1,65,1,75,1,15,0.463,0.361
14,ロペス,DeNA,0.291,140,565,516,150,25,73,1,44,2,82,0,14,0.496,0.347
14,クルーズ,ロッテ,0.255,133,532,501,128,16,73,0,24,2,66,0,7,0.401,0.289
16,ゴメス,阪神,0.271,143,601,520,141,17,72,0,72,6,134,0,15,0.423,0.364
17,糸井 嘉男,オリックス,0.262,132,565,484,127,17,68,11,72,8,78,0,10,0.413,0.366
17,坂本 勇人,巨人,0.269,130,558,479,129,12,68,10,65,0,79,9,5,0.401,0.353
17,森 友哉,西武,0.287,138,531,474,136,17,68,0,44,9,143,0,5,0.468,0.357
20,清田 育宏,ロッテ,0.317,130,548,489,155,15,67,10,54,3,93,0,11,0.503,0.387
21,田中 賢介,日本ハム,0.284,134,596,532,151,4,66,9,57,1,58,5,9,0.352,0.354
21,梶谷 隆幸,DeNA,0.275,134,578,520,143,13,66,28,54,0,132,2,4,0.425,0.342
23,丸 佳浩,広島,0.249,143,633,530,132,19,63,15,94,1,143,4,4,0.413,0.361
24,デスパイネ,ロッテ,0.258,103,409,353,91,18,62,0,49,4,89,0,9,0.462,0.352
25,雄平,ヤクルト,0.27,141,585,551,149,8,60,7,27,3,82,1,7,0.388,0.307
25,ルナ,中日,0.292,134,564,496,145,8,60,11,57,5,77,0,13,0.397,0.367
25,近藤 健介,日本ハム,0.326,129,504,435,142,8,60,6,59,2,59,3,9,0.467,0.405
28,マートン,阪神,0.276,140,583,544,150,9,59,0,31,3,77,0,21,0.375,0.316
29,エルナンデス,中日,0.271,138,548,498,135,11,58,5,35,0,106,10,13,0.4,0.317
30,川端 慎吾,ヤクルト,0.336,143,632,581,195,8,57,4,43,3,72,2,15,0.439,0.383
30,新井 貴浩,広島,0.275,125,480,426,117,7,57,3,48,2,73,0,15,0.385,0.348
32,バルディリス,DeNA,0.258,139,525,465,120,13,56,0,43,12,62,0,12,0.391,0.333
33,秋山 翔吾,西武,0.359,143,675,602,216,14,55,17,60,4,78,7,6,0.522,0.419
33,安達 了一,オリックス,0.239,139,593,506,121,11,55,16,48,6,68,29,11,0.348,0.31
35,エルドレッド,広島,0.227,79,300,264,60,19,54,1,31,1,91,0,3,0.466,0.307
36,平田 良介,中日,0.283,130,559,491,139,13,53,11,64,3,86,1,5,0.43,0.369
37,角中 勝也,ロッテ,0.293,111,484,427,125,6,52,8,47,1,52,7,12,0.405,0.363
37,長野 久義,巨人,0.251,130,479,434,109,15,52,3,34,4,81,5,12,0.415,0.31
39,Ｔ−岡田,オリックス,0.28,105,416,389,109,11,51,2,17,6,80,0,9,0.424,0.317
40,鈴木 大地,ロッテ,0.263,142,564,487,128,6,50,1,47,3,58,24,10,0.366,0.33
40,ウィーラー,楽天,0.255,91,313,274,70,14,50,1,30,6,63,0,6,0.453,0.339
42,松井 稼頭央,楽天,0.256,126,501,445,114,10,48,14,43,3,82,7,7,0.366,0.324
43,阿部 慎之助,巨人,0.242,111,419,343,83,15,47,0,64,8,84,0,9,0.414,0.37
44,中島 裕之,オリックス,0.24,117,483,417,100,10,46,1,53,12,93,0,10,0.357,0.342
45,田中 広輔,広島,0.274,141,590,543,149,8,45,6,34,7,105,5,8,0.413,0.325
45,今宮 健太,ソフトバンク,0.228,142,530,457,104,7,45,3,34,0,83,35,13,0.326,0.279
45,藤井 淳志,中日,0.295,118,315,275,81,6,45,3,23,2,69,11,4,0.415,0.349
48,藤田 一也,楽天,0.27,111,451,392,106,5,43,8,28,8,30,16,3,0.349,0.326
49,鳥谷 敬,阪神,0.281,143,646,551,155,6,42,9,89,1,77,2,8,0.367,0.38
49,栗山 巧,西武,0.268,142,622,533,143,10,42,3,72,5,88,8,15,0.371,0.358
49,後藤 光尊,楽天,0.237,117,444,413,98,9,42,13,12,5,48,10,8,0.346,0.265
52,大引 啓次,ヤクルト,0.225,96,347,311,70,5,41,6,27,1,56,6,5,0.338,0.287
53,ペーニャ,楽天,0.268,125,492,406,109,17,40,1,70,16,111,0,5,0.448,0.396
54,中島 卓也,日本ハム,0.264,143,617,515,136,0,39,34,66,2,93,34,10,0.287,0.35
54,中村 晃,ソフトバンク,0.3,135,590,506,152,1,39,7,66,6,47,9,7,0.35,0.386
54,村田 修一,巨人,0.236,103,370,330,78,12,39,1,28,8,65,2,12,0.373,0.31
57,今江 敏晃,ロッテ,0.287,98,400,373,107,1,38,2,16,9,35,0,17,0.365,0.33
58,片岡 治大,巨人,0.244,113,411,348,85,10,36,21,25,2,36,36,7,0.374,0.299
58,陽 岱鋼,日本ハム,0.259,86,381,352,91,7,36,14,21,4,93,2,4,0.358,0.306
58,銀次,楽天,0.301,82,354,316,95,1,36,8,30,1,19,3,5,0.348,0.359
61,西川 遥輝,日本ハム,0.276,125,521,442,122,5,35,30,60,4,98,15,1,0.391,0.368
61,炭谷 銀仁朗,西武,0.211,133,443,399,84,4,35,0,16,4,87,22,7,0.281,0.247
61,亀井 善行,巨人,0.272,109,432,382,104,6,35,8,40,1,59,3,6,0.374,0.338
61,カラバイヨ,オリックス,0.252,64,247,222,56,12,35,0,17,5,63,0,3,0.455,0.316
65,中村 悠平,ヤクルト,0.231,136,502,442,102,2,33,3,40,4,80,14,9,0.276,0.299
66,菊池 涼介,広島,0.254,143,644,562,143,8,32,19,29,2,92,49,7,0.343,0.292
66,田村 龍弘,ロッテ,0.17,117,365,305,52,2,32,3,33,1,69,22,3,0.23,0.251
68,上本 博紀,阪神,0.253,108,452,375,95,4,31,19,44,4,69,29,1,0.339,0.338
68,駿太,オリックス,0.234,135,382,334,78,2,31,8,24,6,69,15,4,0.287,0.294
68,アンダーソン,巨人,0.252,83,260,234,59,7,31,1,21,5,37,0,5,0.402,0.327
71,明石 健志,ソフトバンク,0.263,115,394,342,90,3,30,11,31,5,64,12,4,0.342,0.33
71,會澤 翼,広島,0.246,93,290,252,62,6,30,0,26,7,49,2,9,0.369,0.33
71,シアーホルツ,広島,0.25,65,248,232,58,10,30,3,14,2,67,0,0,0.435,0.298
74,伊藤 光,オリックス,0.271,104,290,247,67,1,28,0,29,1,53,11,4,0.328,0.348
74,井口 資仁,ロッテ,0.247,87,250,227,56,6,28,1,21,2,65,0,4,0.41,0.316
76,大島 洋平,中日,0.26,142,620,565,147,6,27,22,39,5,65,10,5,0.342,0.313
76,梵 英心,広島,0.237,96,332,283,67,6,27,2,36,1,49,10,6,0.36,0.323
78,岡 大海,日本ハム,0.236,101,294,259,61,4,26,18,17,7,64,10,8,0.336,0.299
78,和田 一浩,中日,0.298,79,234,218,65,5,26,1,14,2,40,0,9,0.404,0.346
78,松山 竜平,広島,0.277,100,229,202,56,7,26,1,23,1,30,0,8,0.446,0.349
78,嶺井 博希,DeNA,0.237,74,208,186,44,5,26,0,12,5,46,3,2,0.371,0.298
82,鈴木 誠也,広島,0.275,97,238,211,58,5,25,6,16,2,38,7,3,0.403,0.329
83,ブランコ,オリックス,0.194,52,189,165,32,9,24,0,21,1,53,0,2,0.364,0.286
84,渡辺 直人,西武,0.272,83,188,158,43,0,23,1,14,5,26,10,2,0.329,0.348
84,福田 永将,中日,0.243,79,185,169,41,6,23,0,14,0,62,0,7,0.408,0.297
86,脇谷 亮太,西武,0.294,118,272,235,69,3,22,4,27,1,47,8,3,0.396,0.367
86,デニング,ヤクルト,0.222,64,227,194,43,4,22,0,23,8,43,0,2,0.345,0.326
86,西野 真弘,オリックス,0.304,57,213,191,58,3,22,9,18,2,25,2,0,0.403,0.37
86,小谷野 栄一,オリックス,0.295,56,206,183,54,4,22,0,13,3,22,5,7,0.41,0.348
90,中村 奨吾,ロッテ,0.23,111,299,269,62,5,21,4,15,4,69,9,4,0.331,0.279
90,中川 大志,楽天,0.235,62,206,187,44,5,21,2,12,4,60,1,6,0.358,0.293
90,福浦 和也,ロッテ,0.272,73,199,173,47,2,21,1,20,6,34,0,4,0.324,0.367
90,高橋 由伸,巨人,0.278,77,158,133,37,5,21,2,20,4,39,0,3,0.429,0.386
