順位,都道府県,地方,平均寿命
1,長野,信越,80.88
2,滋賀,近畿,80.58
3,福井,北陸,80.47
4,熊本,九州,80.29
5,神奈川,関東,80.25
6,京都,近畿,80.21
7,奈良,近畿,80.14
8,大分,九州,80.06
9,山形,東北,79.97
10,静岡,東海,79.95
11,岐阜,東海,79.92
12,広島,中国,79.91
13,千葉,関東,79.88
14,東京,関東,79.82
15,岡山,中国,79.77
16,香川,四国,79.73
17,愛知,東海,79.71
18,石川,北陸,79.71
19,富山,北陸,79.71
20,宮崎,九州,79.7
21,三重,東海,79.68
22,宮城,東北,79.65
23,埼玉,関東,79.62
24,兵庫,近畿,79.59
25,山梨,関東,79.54
26,島根,中国,79.51
27,新潟,信越,79.47
28,徳島,四国,79.44
29,群馬,関東,79.4
30,沖縄,沖縄,79.4
31,福岡,九州,79.3
32,佐賀,九州,79.28
33,鹿児島,九州,79.21
34,北海道,北海道,79.17
35,愛媛,四国,79.13
36,茨城,関東,79.09
37,和歌山,近畿,79.07
38,栃木,関東,79.06
39,山口,中国,79.03
40,鳥取,中国,79.01
41,大阪,近畿,78.99
42,高知,四国,78.91
43,長崎,九州,78.88
44,福島,東北,78.84
45,岩手,東北,78.53
46,秋田,東北,78.22
47,青森,東北,77.28
